Mã sản phẩm,Tên sản phẩm,Nhà sản xuất,loại sản phẩm,kích thước,Chất liệu,màu,bề mặt,chức năng,giá nhập,giá bán,type_code,combo
Sp-052,Bồn Cầu 1 Khối VIGLACERA V199 + Vòi Xịt VG826,Viglacera,TBVS,680 x 360 x 745mm,,Trắng,,,6150000,6500000,bon-cau,
Sp-053,Bồn Cầu 2 Khối Toto CS300DRE2,toto,TBVS,693 x 451 x 763 mm,,Trắng,,,5850000,6120000,bon-cau,
Sp-054,Bồn Cầu 1 Khối INAX AC-969VN,inax,TBVS,653 x 394 x 727 mm,,Trắng,,,3950000,4335000,bon-cau,
Sp-055,Bồn CẦU 1 KHỐI TOTO MS889DT3 (Nắp Đóng Êm TC385VS),toto,TBVS,701 x 387 x 699,,Trắng,,,10250000,11210000,bon-cau,
Sp-056,Bồn Cầu 1 Khối INAX AC-1052VN,inax,TBVS,739 x 360 x 658 mm,,Trắng,,,11050000,11711000,bon-cau,
Sp-057,Bồn Cầu 1 Khối INAX AC-2700VN,inax,TBVS,810 x 424 x 642 mm,,Trắng,,,1600000,16910000,bon-cau,
Sp-058,Bồn Cầu 1 Khối INAX AC-1032VN,inax,TBVS,809 x 372 x 605 mm,,Trắng,,,8150000,8915000,bon-cau,
Sp-059,Bàn Cầu 1 Khối VIGLACERA V38,Viglacera,TBVS,700 x 380 x 715mm,,Trắng,,,2000000,2380000,bon-cau,
sp-060,Van Giảm Áp American Standard A-4400S,American Standard,TBVS,,Inox chống gỉ,,,,125000,160000,PKNT,
sp-061,Đĩa Đựng Xà Phòng American Standard VF-9401,American Standard,TBVS,,Nhựa cao cấp,,,,236000,290000,PKNT,
sp-062,Dây Sen Tắm American Standard A-960-987,American Standard,TBVS,,Dây sắt mạ Crôm,,,,258000,320000,PKNT,
sp-063,Vòi Rửa Nước Lạnh American Standard A-7400C,American Standard,TBVS,,Đồng mạ Crôm,,,,255000,330000,PKNT,
sp-064,Kệ đựng cốc American K-2801-44-N,American Standard,TBVS,,Inox,,,,395000,470000,PKNT,
sp-065,Ống Thải A-325PL (Hình chữ P),inax,TBVS,,Nhựa cao cấp,,,,89000,127000,PKNT,
sp-066,Khay Xà Phòng H-444V (Bộ H-AC400V6),inax,TBVS,,Nhựa cao cấp,,,,115000,155000,PKNT,
sp-067,Thanh Treo Khăn H-485V (Bộ H-AC480V6),inax,TBVS,,inox,,,,255000,310000,PKNT,
sp-068,Văn Vặn A-703-7 (Hình Chữ T),inax,TBVS,,inox,,,,288000,347000,PKNT,
sp-069,Gương Tráng Bạc KF-5070VAC (50 x 70cm),inax,TBVS,,,,,,680000,800000,PKNT,
sp-070,Vòi Xịt VG826 (VGXP6),Viglacera,TBVS,,Nhựa cao cấp,,,,180000,220000,PKNT,
sp-071,Bộ VG-92 (5 Món),Viglacera,TBVS,,,,,,885000,1050000,PKNT,
sp-072,Siphon Lật Viglacera VG814 (VGSP4),Viglacera,TBVS,,Đồng mạ crôm,,,,255000,310000,PKNT,
sp-073,Máy nước nóng Ariston AURES SM45PE SBS VN 4500W,Ariston,TBVS,,,,,,3200000,3750000,TBNL,
sp-074,Máy nước nóng Ferroli QQ Evo 15L ME 15 lít,Ferroli,TBVS,,,,,,1450000,1990000,TBNL,
sp-075,Máy nước nóng Panasonic DH-4RP1VW 4500W,Panasonic,TBVS,,,,,,4000000,4490000,TBNL,
sp-076,Máy nước nóng Centon GD600ESP FL EMC 4500 W,Centon,TBVS,,,,,,3050000,3590000,TBNL,
